Values,MA_1000,MA_5000,Timestamp,,,,,,,
100,80.47447447,68.10362072,26/06/24 6:17,,,,,,,
100,80.441,68.0996,26/06/24 6:18,,,,,,,
100,80.388,68.0892,26/06/24 6:18,,,,,,,
100,80.335,68.0788,26/06/24 6:18,,,,,,,
100,80.282,68.0684,26/06/24 6:19,,,,,,,
100,80.228,68.058,26/06/24 6:19,,,,,,,
100,80.174,68.0476,26/06/24 9:29,,,,,,,
100,80.12,68.0372,26/06/24 9:29,,,,,,,
100,80.066,68.0268,26/06/24 9:29,,,,,,,
100,80.012,68.0164,26/06/24 9:29,,,,,,,
100,79.958,68.006,26/06/24 9:29,,,,,,,
100,79.904,67.9956,26/06/24 9:30,,,,,,,
100,79.85,67.9852,26/06/24 9:30,,,,,,,
100,79.796,67.9746,26/06/24 9:30,,,,,,,
100,79.742,67.964,26/06/24 9:31,,,,,,,
100,79.688,67.9534,26/06/24 9:31,,,,,,,
100,79.633,67.9428,26/06/24 9:31,,,,,,,
100,79.578,67.9322,26/06/24 9:31,,,,,,,
100,79.523,67.9214,26/06/24 9:32,,,,,,,
100,79.468,67.9106,26/06/24 9:32,,,,,,,
100,79.413,67.8998,26/06/24 9:32,,,,,,,
100,79.358,67.889,26/06/24 9:32,,,,,,,
100,79.303,67.8782,26/06/24 9:32,,,,,,,
100,79.248,67.8674,26/06/24 9:33,,,,,,,
100,79.193,67.8566,26/06/24 9:33,,,,,,,
100,79.138,67.8458,26/06/24 9:33,,,,,,,
100,79.082,67.835,26/06/24 9:34,,,,,,,
100,79.026,67.8242,26/06/24 9:34,,,,,,,
100,78.97,67.8134,26/06/24 9:34,,,,,,,
100,78.914,67.8026,26/06/24 9:34,,,,,,,
100,78.858,67.7918,26/06/24 9:35,,,,,,,
100,78.802,67.781,26/06/24 9:35,,,,,,,
100,78.746,67.7702,26/06/24 9:35,,,,,,,
100,78.69,67.7594,26/06/24 9:35,,,,,,,
100,78.634,67.7484,26/06/24 9:35,,,,,,,
100,78.578,67.7374,26/06/24 9:36,,,,,,,
99,78.522,67.7264,26/06/24 9:36,,,,,,,
99,78.466,67.7154,26/06/24 9:36,,,,,,,
99,78.411,67.7046,26/06/24 9:37,,,,,,,
99,78.355,67.6938,26/06/24 9:37,,,,,,,
99,78.299,67.683,26/06/24 9:37,,,,,,,
99,78.243,67.6722,26/06/24 9:37,,,,,,,
99,78.187,67.6614,26/06/24 9:38,,,,,,,
99,78.131,67.6506,26/06/24 9:38,,,,,,,
99,78.075,67.6398,26/06/24 9:38,,,,,,,
99,78.019,67.629,26/06/24 9:38,,,,,,,
99,77.962,67.6182,26/06/24 9:38,,,,,,,
99,77.905,67.6074,26/06/24 9:39,,,,,,,
99,77.848,67.5966,26/06/24 9:39,,,,,,,
99,77.791,67.5858,26/06/24 9:39,,,,,,,
99,77.734,67.575,26/06/24 9:40,,,,,,,
99,77.677,67.5642,26/06/24 9:40,,,,,,,
99,77.62,67.5534,26/06/24 9:40,,,,,,,
99,77.563,67.5426,26/06/24 9:40,,,,,,,
99,77.506,67.5318,26/06/24 9:41,,,,,,,
99,77.449,67.521,26/06/24 9:41,,,,,,,
99,77.392,67.5102,26/06/24 9:41,,,,,,,
99,77.335,67.4992,26/06/24 9:41,,,,,,,
99,77.278,67.4882,26/06/24 9:42,,,,,,,
99,77.221,67.4772,26/06/24 9:42,,,,,,,
98,77.164,67.4662,26/06/24 9:42,,,,,,,
98,77.107,67.4552,26/06/24 9:42,,,,,,,
98,77.051,67.4444,26/06/24 9:43,,,,,,,
98,76.995,67.4336,26/06/24 9:43,,,,,,,
98,76.939,67.4228,26/06/24 9:43,,,,,,,
98,76.882,67.412,26/06/24 9:43,,,,,,,
98,76.825,67.4012,26/06/24 9:43,,,,,,,
98,76.768,67.3904,26/06/24 9:44,,,,,,,
98,76.711,67.3796,26/06/24 9:44,,,,,,,
98,76.654,67.3688,26/06/24 9:44,,,,,,,
98,76.597,67.358,26/06/24 9:45,,,,,,,
98,76.54,67.3472,26/06/24 9:45,,,,,,,
98,76.532,67.3364,26/06/24 9:45,,,,,,,
98,76.524,67.3256,26/06/24 9:45,,,,,,,
98,76.516,67.3148,26/06/24 9:46,,,,,,,
98,76.508,67.304,26/06/24 9:46,,,,,,,
98,76.5,67.2932,26/06/24 9:46,,,,,,,
98,76.492,67.2824,26/06/24 9:46,,,,,,,
98,76.484,67.2716,26/06/24 9:46,,,,,,,
98,76.476,67.2608,26/06/24 9:47,,,,,,,
